_id,tahun_data,kabupaten,kecamatan,desa,titik
128,2023,Kendal,Rowosari,Gempolsewu,1
129,2023,Kendal,Limbangan,Tamanrejo,1
130,2023,Klaten,Kemalang,Tlogowatu,1
131,2023,Klaten,Jatinom,Randulanang,1
132,2023,Klaten,Gantiwarno,Kragilan,1
133,2023,Klaten,Gantiwarno,Jogoprayan,1
134,2023,Klaten,Gantiwarno,Gentan,1
135,2023,Klaten,Bayat,Nengahan,1
136,2023,Klaten,Bayat,Jarum,1
137,2023,Klaten,Bayat,Bogem,1
138,2023,Klaten,Juwiring,Serenan,1
139,2023,Klaten,Jatinom,Tibayan,1
140,2023,Klaten,Trucuk,Gaden,1
141,2023,Klaten,Manisrenggo,Borangan,1
142,2023,Kudus,Dawe,Dukuh Waringin,1
143,2023,Kudus,Kaliwungu,Setrokalangan,1
144,2023,Kudus,Kaliwungu,Bakalan Krapyak,1
145,2023,Kudus,Jekulo,Gondoharum,1
146,2023,Kudus,Jekulo,Pladen,1
147,2023,Kudus,Jekulo,Bulung Kulon,1
148,2023,Kudus,Jekulo,Bulung Cangkring,1
149,2023,Magelang,Windusari,Balesari,1
150,2023,Magelang,Kaliangkrik,Balekerto,1
151,2023,Magelang,Grabag,Sugihmas,1
152,2023,Magelang,Kaliangkrik,Ngawonggo,1
153,2023,Magelang,Windusari,Candisari,1
154,2023,Magelang,Windusari,Wonoroto,1
155,2023,Magelang,Borobudur,Giritengah,1
156,2023,Magelang,Pakis,Petung,1
157,2023,Magelang,Salaman,Purwosari,1
158,2023,Magelang,Pakis,Bawang,1
159,2023,Magelang,Pakis,Kragilan,1
160,2023,Magelang,Pakis,Losari,1
161,2023,Magelang,Kaliangkrik,Temanggung,1
162,2023,Magelang,Windusari,Genito,1
163,2023,Magelang,Pakis,Banyusidi,1
164,2023,Pati,Kecamatan Cluwak,Ngawen,1
165,2023,Pati,Kecamatan Tlogowungu,Tamansari,1
166,2023,Pati,Kayen,Trimulyo,1
167,2023,Pati,Tambakromo,Kedalingan,1
168,2023,Pati,Gabus,Mojolawaran,1
169,2023,Pati,Pati,Semampir,1
170,2023,Pati,Pati,Gajahmati,1
171,2023,Pati,Pati,Panjunan,1
172,2023,Pati,Pati,Kalidoro,1
173,2023,Pati,Gabus,Penanggungan,1
174,2023,Pekalongan,Kandangserang,Tajur,1
175,2023,Pekalongan,Petungkriyono,Yosorejo,1
176,2023,Pekalongan,Paninggaran,Lumeneng,1
177,2023,Pekalongan,Sragi,Kedungjaran,1
178,2023,Pekalongan,Bojong,Duwet,1
179,2023,Pekalongan,Kajen,Wororejo,1
180,2023,Pemalang,Watukumpul,Medayu,1
181,2023,Pemalang,Watukumpul,Tambi,1
182,2023,Pemalang,Belik,Mendelem,1
183,2023,Pemalang,Belik,Gombong,1
184,2023,Pemalang,Moga,Mandiraja,1
185,2023,Pemalang,Petarukan,Serang,1
186,2023,Pemalang,Petarukan,Widodaren,1
187,2023,Pemalang,Watukumpul,Wisnu,1
188,2023,Pemalang,Pemalang,Surajaya,1
189,2023,Pemalang,Watukumpul,Jojogan,1
190,2023,Pemalang,Watukumpul,Cikadu,1
191,2023,Purbalingga,Kejobong,Nangkasawit,1
192,2023,Purbalingga,Mrebet,Binangun,1
193,2023,Purbalingga,Mrebet,Serayu Larangan,1
194,2023,Purbalingga,Kutasari,Candiwulan,1
195,2023,Purbalingga,Kemangkon,Bakulan,1
196,2023,Purbalingga,Kutasari,Karangcegak,1
197,2023,Purbalingga,Bobotsari,Limbasari,1
198,2023,Purbalingga,Karanganyar,Jambudesa,1
199,2023,Purbalingga,Bobotsari,Pakuncen,1
200,2023,Purbalingga,Rembang,Panusupan,1
201,2023,Purbalingga,Kertanegara,Krangean,1
202,2023,Purbalingga,Karangreja,Serang,1
203,2023,Purbalingga,Karangreja,Tlahab Lor,1
204,2023,Purworejo,Pituruh,Wonoyoso,1
205,2023,Purworejo,Pituruh,Sumber,1
206,2023,Purworejo,Pituruh,Semampir,1
207,2023,Purworejo,Pituruh,Polowangi,1
208,2023,Purworejo,Pituruh,Gumawangrejo,1
209,2023,Purworejo,Ngombol,Wingkosigromulyo,1
210,2023,Purworejo,Ngombol,Sumberrejo,1
211,2023,Purworejo,Loano,Mudalrejo,1
212,2023,Purworejo,Kutoarjo,Tungtungpait,1
213,2023,Purworejo,Bener,Kedungpucang,1
214,2023,Purworejo,Bagelen,Somorejo,1
215,2023,Purworejo,Bener,Bleber,1
216,2023,Purworejo,Kaligesing,Donorejo,1
217,2023,Purworejo,Bener,Kalijambe,1
218,2023,Purworejo,Bagelen,Clapar,1
219,2023,Purworejo,Bagelen,Kalirejo,1
220,2023,Purworejo,Butuh,Blekatuk,1
221,2023,Purworejo,Bruno,Brunosari,1
222,2023,Rembang,Lasem,Karasgede,1
223,2023,Rembang,Lasem,Ngargomulyo,1
224,2023,Rembang,Lasem,Kajar,1
225,2023,Rembang,Sluke,Sendangmulyo,1
226,2023,Rembang,Kragan,Woro,1
227,2023,Rembang,Pamotan,Bangunrejo,1
228,2023,Rembang,Lasem,Jolotundo,1
229,2023,Rembang,Sumber,Ronggo Mulyo,1
230,2023,Rembang,Sumber,Jatihadi,1
231,2023,Rembang,Sale,Ukir,1
232,2023,Semarang,Tuntang,Tlompakan,1
233,2023,Semarang,Bringin,Popongan,1
234,2023,Semarang,Bergas,Gondoriyo,1
235,2023,Semarang,Jambu,Gemawang,1
236,2023,Semarang,Susukan,Tawang,1
237,2023,Semarang,Ambarawa,Pasekan,1
238,2023,Semarang,Bergas,Munding,1
239,2023,Semarang,Sumowono,Ngadirekso,1
240,2023,Sragen,Mondokan,Tempelrejo,1
241,2023,Sragen,Gesi,Blangu,1
242,2023,Sragen,Miri,Gilirejo Baru,1
243,2023,Sragen,Masaran,Pilang,1
244,2023,Sragen,Sambirejo,Jetis,1
